title,url,sqm,rooms,state,elevator,price
Ático en venta en Badajoz,https://www.idealista.com/inmueble/89927500/,125.0,4.0,second_hand,True,510000.0
"Piso en venta en Urb. Poblenou, El Poblenou",https://www.idealista.com/inmueble/87215461/,64.0,2.0,second_hand,False,349000.0
"Chalet adosado en venta en Urb. Poblenou, El Poblenou",https://www.idealista.com/inmueble/90271620/,195.0,4.0,second_hand,False,650000.0
Piso en venta en calle de Llull,https://www.idealista.com/inmueble/89611333/,110.0,4.0,second_hand,True,405000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91258251/,82.0,3.0,second_hand,True,480000.0
Piso en venta en calle de Bac de Roda,https://www.idealista.com/inmueble/90141289/,58.0,2.0,second_hand,True,315000.0
Estudio en venta en calle de la Ciutat de Granada,https://www.idealista.com/inmueble/88893014/,103.0,0.0,second_hand,False,305000.0
Piso en venta en paseo Calvell,https://www.idealista.com/inmueble/88721603/,70.0,3.0,second_hand,True,330000.0
"Piso en venta en pasaje Saladrigas, 4",https://www.idealista.com/inmueble/85476894/,0.0,82.0,new,True,553000.0
"Piso en venta en pasaje Saladrigas, 4",https://www.idealista.com/inmueble/85476846/,0.0,63.0,new,True,423000.0
"Piso en venta en pasaje Saladrigas, 4",https://www.idealista.com/inmueble/85477028/,0.0,81.0,new,True,525000.0
"Ático en venta en pasaje Saladrigas, 4",https://www.idealista.com/inmueble/85477114/,0.0,99.0,new,True,681000.0
Piso en venta en calle de Pere IV,https://www.idealista.com/inmueble/90496512/,80.0,2.0,second_hand,False,434000.0
Estudio en venta en El Poblenou,https://www.idealista.com/inmueble/90496976/,295.0,0.0,need_renovation,True,420000.0
Piso en venta en paseo del Taulat,https://www.idealista.com/inmueble/90281804/,75.0,2.0,second_hand,True,425000.0
Piso en venta en calle de Lope de Vega,https://www.idealista.com/inmueble/89940797/,58.0,2.0,second_hand,False,280000.0
"Piso en venta en calle Taulat, 46",https://www.idealista.com/inmueble/87670516/,0.0,113.0,new,True,750000.0
"Piso en venta en calle Taulat, 46",https://www.idealista.com/inmueble/87670515/,0.0,113.0,new,True,750000.0
"Piso en venta en calle Taulat, 46",https://www.idealista.com/inmueble/87670513/,0.0,106.0,new,True,690000.0
"Estudio en venta en calle del Doctor Trueta, 175",https://www.idealista.com/inmueble/91237851/,96.0,0.0,second_hand,False,490000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91231565/,102.0,4.0,second_hand,True,520000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91102495/,78.0,3.0,second_hand,False,384000.0
Dúplex en venta en calle del Taulat,https://www.idealista.com/inmueble/89929213/,94.0,2.0,second_hand,False,415000.0
"Piso en venta en calle de Castella, 26",https://www.idealista.com/inmueble/89801287/,105.0,3.0,second_hand,True,485000.0
Piso en venta en calle de la Ciutat de Granada,https://www.idealista.com/inmueble/89395352/,72.0,2.0,second_hand,False,250000.0
"Piso en venta en calle de la Jonquera, 4 -8",https://www.idealista.com/inmueble/88197336/,103.0,3.0,second_hand,True,480000.0
"Ático en venta en calle de Tortellà, 15",https://www.idealista.com/inmueble/86554490/,124.0,2.0,second_hand,False,360000.0
"Piso en venta en calle del Taulat, 111",https://www.idealista.com/inmueble/91094597/,65.0,2.0,second_hand,False,269999.0
Piso en venta en calle del Joncar,https://www.idealista.com/inmueble/90989711/,84.0,3.0,second_hand,True,455000.0
Piso en venta en calle de Ramon Turró,https://www.idealista.com/inmueble/91088952/,87.0,4.0,second_hand,True,283000.0
Piso en venta en rambla del Poblenou,https://www.idealista.com/inmueble/89839620/,43.0,1.0,need_renovation,False,213100.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/87578554/,92.0,3.0,second_hand,True,350000.0
Piso en venta en calle de Lope de Vega,https://www.idealista.com/inmueble/91221864/,47.0,3.0,need_renovation,True,220000.0
